
;======================================================== ~~  ~~ =========================================================;
;================================================ ~~ SID&STAR-Section ~~ =================================================;
[SIDSSTARS]
STAR:EFKE:18:BEXUL4K:BEXUL XULBI LEGVU ;  Combiner=EFKE1/5 | ID=18_BEXU4K
STAR:EFKE:18:BURJA2K:BURJA GURDO ELBIK LEGVU ;  Combiner=EFKE1/5 | ID=18_BURJ2K
STAR:EFKE:18:INLEK2K:INLEK FEBJU XULBI LEGVU ;  Combiner=EFKE1/5 | ID=18_INLE2K
STAR:EFKE:18:NEPIX4K:NEPIX LEGVU ;  Combiner=EFKE1/5 | ID=18_NEPI4K
STAR:EFKE:36:BEXUL4L:BEXUL DIRGU ;  Combiner=EFKE1/5 | ID=36_BEXU4L
STAR:EFKE:36:BURJA2L:BURJA DIRGU ;  Combiner=EFKE1/5 | ID=36_BURJ2L
STAR:EFKE:36:INLEK2L:INLEK DIRGU ;  Combiner=EFKE1/5 | ID=36_INLE2L
STAR:EFKE:36:NEPIX4L:NEPIX GURDO VABSA DIRGU ;  Combiner=EFKE1/5 | ID=36_NEPI4L
STAR:EFMA:03:DODAM4B:DODAM RATSO NARIL ;  Combiner=EFMA1/5 | ID=03_DODA4B
STAR:EFMA:03:EBEBU3B:EBEBU VASET NARIL ;  Combiner=EFMA1/5 | ID=03_EBEB3B
STAR:EFMA:03:RIKUM4B:RIKUM NARIL ;  Combiner=EFMA1/5 | ID=03_RIKU4B
STAR:EFMA:03:SOTUP3B:SOTUP VASET NARIL ;  Combiner=EFMA1/5 | ID=03_SOTU3B
STAR:EFMA:21:DODAM4A:DODAM KUSUP BEGOV ;  Combiner=EFMA1/5 | ID=21_DODA4A
STAR:EFMA:21:EBEBU3A:EBEBU XERDA BEGOV ;  Combiner=EFMA1/5 | ID=21_EBEB3A
STAR:EFMA:21:RIKUM4A:RIKUM KUSUP BEGOV ;  Combiner=EFMA1/5 | ID=21_RIKU4A
STAR:EFMA:21:SOTUP3A:SOTUP BEGOV ;  Combiner=EFMA1/5 | ID=21_SOTU3A
STAR:EKCH:04L:ERNOV2A:ERNOV CH744 CH727 ERPUK BASLO CH93 BUDIQ CH4LF ;  Combiner=EKCH1/5A*I* | ID=04L_ERNO2A_ERPUK_I
STAR:EKCH:04L:MONAK4A:MONAK OLPIB NEKSO CH731 CH724 DOPEM BASLO CH93 BUDIQ CH4LF ;  Combiner=EKCH1/5A*I* | ID=04L_MONA4A_DEPEM_I
STAR:EKCH:04L:TESPI3A:TESPI ROSBI TNO CH750 CH742 CH734 CH727 ERPUK BASLO CH93 BUDIQ CH4LF ;  Combiner=EKCH1/5A*I* | ID=04L_TESP3A_ERPUK_I
STAR:EKCH:04L:TIDVU2A:TIDVU ESJAH CH743 CH737 CH731 CH724 DOPEM BASLO CH93 BUDIQ CH4LF ;  Combiner=EKCH1/5A*I* | ID=04L_TIDV2A_DEPEM_I
STAR:EKCH:04L:TUDLO3A:TUDLO LUGAS KOR CH751 CH740 CH734 CH727 ERPUK BASLO CH93 BUDIQ CH4LF ;  Combiner=EKCH1/5A*I* | ID=04L_TUDL3A_ERPUK_I
STAR:EKCH:04R:ERNOV2A:ERNOV CH744 CH727 ERPUK BASLO NE92 CATWU CH4RF ;  Combiner=EKCH1/5A*I* | ID=04R_ERNO2A_ERPUK_I
STAR:EKCH:04R:MONAK4A:MONAK OLPIB NEKSO CH731 CH724 DOPEM BASLO NE92 CATWU CH4RF ;  Combiner=EKCH1/5A*I* | ID=04R_MONA4A_DOPEM_I
STAR:EKCH:04R:TESPI3A:TESPI ROSBI TNO CH750 CH742 CH734 CH727 ERPUK BASLO NE92 CATWU CH4RF ;  Combiner=EKCH1/5A*I* | ID=04R_TESP3A_ERPUK_I
STAR:EKCH:04R:TIDVU2A:TIDVU ESJAH CH743 CH737 CH731 CH724 DOPEM BASLO NE92 CATWU CH4RF ;  Combiner=EKCH1/5A*I* | ID=04R_TIDV2A_DOPEM_I
STAR:EKCH:04R:TUDLO3A:TUDLO LUGAS KOR CH751 CH740 CH734 CH727 ERPUK BASLO NE92 CATWU CH4RF ;  Combiner=EKCH1/5A*I* | ID=04R_TUDL3A_ERPUK_I
STAR:EKCH:12:ERNOV2B:ERNOV CH532 CH524 FEDJO EPOXO KA93 VECJA CH12F ;  Combiner=EKCH1/5A*I* | ID=12_ERNO2B_FEDJO_I
STAR:EKCH:12:MONAK5B:MONAK OLPIB NEKSO CH546 CH530 CH525 AGTIC EPOXO KA93 VECJA CH12F ;  Combiner=EKCH1/5A*I* | ID=12_MONA5B_AGTIC_I
STAR:EKCH:12:TESPI3B:TESPI ROSBI TNO CH553 CH542 CH533 CH525 AGTIC EPOXO KA93 VECJA CH12F ;  Combiner=EKCH1/5A*I* | ID=12_TESP3B_AGTIC_I
STAR:EKCH:12:TIDVU2B:TIDVU WUPJA CH545 CH535 CH524 FEDJO EPOXO KA93 VECJA CH12F ;  Combiner=EKCH1/5A*I* | ID=12_TIDV2B_FEDJO_I
STAR:EKCH:12:TUDLO3B:TUDLO LUGAS KOR CH543 CH533 CH525 AGTIC EPOXO KA93 VECJA CH12F ;  Combiner=EKCH1/5A*I* | ID=12_TUDL3B_AGTIC_I
STAR:EKCH:22L:ERNOV3C:ERNOV CH647 CH637 CH631 CH626 ABEGI LAMOX OXS93 EXTAR CH2LF ;  Combiner=EKCH1/5A*I* | ID=22L_ERNO3C_ABEGI_I
STAR:EKCH:22L:MONAK4C:MONAK OLPIB NEKSO CH643 CH636 CH630 CH625 ADOVI LAMOX OXS93 EXTAR CH2LF ;  Combiner=EKCH1/5A*I* | ID=22L_MONA4C_ADOVI_I
